abs_path,rel_path,parent_folder,filename,ext,size_bytes,size_mb,mime_guess,is_dicom_candidate,is_video_candidate,is_image_candidate
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000004.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000004.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000005.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000005.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000006.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000006.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000006.dcm,.dcm,129088480,123.108,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000007.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000007.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000007.dcm,.dcm,466990590,445.357,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000008.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000008.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000008.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000009.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000009.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000009.dcm,.dcm,150349974,143.385,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000010.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000010.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000010.dcm,.dcm,173129876,165.11,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000011.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000011.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000011.dcm,.dcm,2075688,1.98,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000012.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000012.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000012.dcm,.dcm,2766888,2.639,application/dicom,True,False,False
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000013.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/00000013.dcm,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248,00000013.dcm,.dcm,123014082,117.315,application/dicom,True,False,False
